2025-08-20 16:55:58 - INFO - Inputs:
2025-08-20 16:55:58 - INFO -  --> input_file = example_input.xlsx
2025-08-20 16:55:58 - INFO -  --> output_folder = example_output
2025-08-20 16:55:58 - INFO -  --> seed = 321
2025-08-20 16:55:58 - INFO -  --> unavailable = NIET
2025-08-20 16:55:58 - INFO -  --> clip_bot = 1
2025-08-20 16:55:58 - INFO -  --> clip_upp = 41
2025-08-20 16:55:58 - INFO -  --> net = False
2025-08-20 16:55:58 - INFO -  --> tabu_length = 4
2025-08-20 16:55:58 - INFO -  --> perturbation_length = 50
2025-08-20 16:55:58 - INFO -  --> n_iterations = 500
2025-08-20 16:55:58 - INFO -  --> m = 7
2025-08-20 16:55:58 - INFO -  --> p = 1000
2025-08-20 16:55:58 - INFO -  --> r_max = 4
2025-08-20 16:55:58 - INFO -  --> alpha = 0.5
2025-08-20 16:55:58 - INFO -  --> beta = 0.01
2025-08-20 16:55:58 - INFO -  --> cost_excessive_rest_days = 500.0
2025-08-20 16:55:58 - INFO - PROCESSING LEAGUE > LEAGUE A
2025-08-20 16:55:59 - INFO - Read and parsed input data
2025-08-20 16:55:59 - INFO - Phase 1: Construction
2025-08-20 16:55:59 - INFO - Initialized schedule using method 1 with cost 3274.0
2025-08-20 16:56:00 - INFO - Initialized schedule using method 2 with cost 848.0
2025-08-20 16:56:00 - INFO - Comparing costs 3274.0 vs. 848.0
2025-08-20 16:56:00 - INFO - Initialization method 2 is best
2025-08-20 16:56:00 - INFO - Phase 2: Tabu & perturbation
2025-08-20 16:56:00 - INFO - Tabu phase starts with cost 848.0
2025-08-20 16:56:00 - INFO - Iteration     1  ->  Cost =   875.0 | Rest days = 1
2025-08-20 16:56:00 - INFO - Iteration     2  ->  Cost =   876.0 | Rest days = 1
2025-08-20 16:56:00 - INFO - Iteration     3  ->  Cost =   891.0 | Rest days = 1
2025-08-20 16:56:00 - INFO - Iteration     4  ->  Cost =   876.0 | Rest days = 1
2025-08-20 16:56:00 - INFO - Iteration     5  ->  Cost =   891.0 | Rest days = 1
2025-08-20 16:56:00 - INFO - Iteration     6  ->  Cost =   888.0 | Rest days = 1
2025-08-20 16:56:00 - INFO - Iteration     7  ->  Cost =   888.0 | Rest days = 1
2025-08-20 16:56:00 - INFO - Iteration     8  ->  Cost =   881.0 | Rest days = 1
2025-08-20 16:56:00 - INFO - Iteration     9  ->  Cost =   860.0 | Rest days = 1
2025-08-20 16:56:00 - INFO - Iteration    10  ->  Cost =   860.0 | Rest days = 1
2025-08-20 16:56:00 - INFO - Iteration    11  ->  Cost =   873.0 | Rest days = 1
2025-08-20 16:56:00 - INFO - Iteration    12  ->  Cost =   873.0 | Rest days = 1
2025-08-20 16:56:00 - INFO - Iteration    13  ->  Cost =   906.0 | Rest days = 1
2025-08-20 16:56:00 - INFO - Iteration    14  ->  Cost =  1408.0 | Rest days = 2
2025-08-20 16:56:00 - INFO - Iteration    15  ->  Cost =  1402.0 | Rest days = 2
2025-08-20 16:56:00 - INFO - Iteration    16  ->  Cost =  1412.0 | Rest days = 2
2025-08-20 16:56:00 - INFO - Iteration    17  ->  Cost =  1409.0 | Rest days = 2
2025-08-20 16:56:00 - INFO - Iteration    18  ->  Cost =  1404.0 | Rest days = 2
2025-08-20 16:56:00 - INFO - Iteration    19  ->  Cost =  1402.0 | Rest days = 2
2025-08-20 16:56:00 - INFO - Iteration    20  ->  Cost =  1421.0 | Rest days = 2
2025-08-20 16:56:00 - INFO - Iteration    21  ->  Cost =  1403.0 | Rest days = 2
2025-08-20 16:56:00 - INFO - Iteration    22  ->  Cost =  1403.0 | Rest days = 2
2025-08-20 16:56:00 - INFO - Iteration    23  ->  Cost =  1395.0 | Rest days = 2
2025-08-20 16:56:00 - INFO - Iteration    24  ->  Cost =   916.0 | Rest days = 1
